EAN / UPC;Código Maestro;Código Producto;Código Completo (SKU);Marca;Descripción Maestra;Descripción Color;Coste;PVPR;PVPR - Dto1;Dto1;Dto2;Dto3;Dto. Equivalente;Cantidad mínima;Cantidad múltiplo;Cantidad por pack;Stock;Stock 15 días;Incluir Eans
8034033120574;06214600;06214600 091;06214600 091 XL;ROLLERBLADE;CODERAS PRO;ANTRACITA/NEGRO;3,18;13,95;5,58;60,00;43,00;0,00;77,20;1;1;1;1;0;0
8034033119769;06228000;06228000 000;06228000 000;ROLLERBLADE;RODAMIENTOS TRAINING SG 9;NEUTRO;19,60;39,99;39,99;0,00;51,00;0,00;51,00;1;1;1;0;0;0
8034033172207;09210000;09210000 001;09210000 001 225;ROLLERBLADE;PLANTILLA ESPECIALIZADA (1PR) RB;NEUTRAL;4,89;14,30;8,58;40,00;43,00;0,00;65,80;1;1;1;1;0;0
8034033172191;09210000;09210000 001;09210000 001 220;ROLLERBLADE;PLANTILLA ESPECIALIZADA (1PR) RB;NEUTRAL;4,89;14,30;8,58;40,00;43,00;0,00;65,80;1;1;1;1;0;0
8050459444247;06228500;06228500 000;06228500 000;ROLLERBLADE;RODAMIENTOS ILQ-9 PRO (16PCS);NEUTRAL;34,30;69,99;69,99;0,00;51,00;0,00;51,00;1;1;1;10;0;0
8050459444254;06228600;06228600 000;06228600 000;ROLLERBLADE;RODAMIENTOS ILQ-7 PLUS (16PCS);NEUTRAL;19,60;39,99;39,99;0,00;51,00;0,00;51,00;1;1;1;10;0;0
8050459443387;06635200;06635200 100;06635200 100;ROLLERBLADE;RUEDAS HYDROGEN 125/85A (6PCS);NEGRO;63,70;129,99;129,99;0,00;51,00;0,00;51,00;1;1;1;0;0;0
8050459450828;06635400;06635400 100;06635400 100;ROLLERBLADE;RUEDAS HYDROGEN 110/85A (8PCS);NEGRO;58,80;119,99;119,99;0,00;51,00;0,00;51,00;1;1;1;10;0;0
8050459450835;06635500;06635500 100;06635500 100;ROLLERBLADE;RUEDAS HYDROGEN 100/85A (8PCS);NEGRO;53,90;109,99;109,99;0,00;51,00;0,00;51,00;1;1;1;6;0;0
8050459450842;06635600;06635600 100;06635600 100;ROLLERBLADE;RUEDAS HYDROGEN 90/85A (8PCS);NEGRO;49,00;99,99;99,99;0,00;51,00;0,00;51,00;1;1;1;0;0;0
8050459450859;06635700;06635700 100;06635700 100;ROLLERBLADE;RUEDAS HYDROGEN 84/85A (8PCS);NEGRO;46,55;94,99;94,99;0,00;51,00;0,00;51,00;1;1;1;0;0;0
8050459450866;06635800;06635800 100;06635800 100;ROLLERBLADE;RUEDAS HYDROGEN 80/85A (8PCS);NEGRO;44,10;89,99;89,99;0,00;51,00;0,00;51,00;1;1;1;0;0;0
8050459457599;067H0200;067H0200 100;067H0200 100 M;ROLLERBLADE;CASCO STRIDE HELMET;NEGRO;22,05;44,99;44,99;0,00;51,00;0,00;51,00;1;1;1;20;0;0
8050459460957;067H0200;067H0200 100;067H0200 100 L;ROLLERBLADE;CASCO STRIDE HELMET;NEGRO;22,05;44,99;44,99;0,00;51,00;0,00;51,00;1;1;1;20;0;0
8050459457612;067H0200;067H0200 101;067H0200 101 M;ROLLERBLADE;CASCO STRIDE HELMET;BLANCO;22,05;44,99;44,99;0,00;51,00;0,00;51,00;1;1;1;20;0;0
8050459460964;067H0200;067H0200 101;067H0200 101 L;ROLLERBLADE;CASCO STRIDE HELMET;BLANCO;22,05;44,99;44,99;0,00;51,00;0,00;51,00;1;1;1;20;0;0
8050459461015;067H0300;067H0300 800;067H0300 800 S;ROLLERBLADE;CASCO DOWNTOWN HELMET;NEGRO/AMARILLO;19,60;39,99;39,99;0,00;51,00;0,00;51,00;1;1;1;20;0;0
8050459461022;067H0300;067H0300 800;067H0300 800 L;ROLLERBLADE;CASCO DOWNTOWN HELMET;NEGRO/AMARILLO;19,60;39,99;39,99;0,00;51,00;0,00;51,00;1;1;1;20;0;0
8050459457636;067H0300;067H0300 800;067H0300 800 M;ROLLERBLADE;CASCO DOWNTOWN HELMET;NEGRO/AMARILLO;19,60;39,99;39,99;0,00;51,00;0,00;51,00;1;1;1;20;0;0
8050459461039;067H0300;067H0300 849;067H0300 849 S;ROLLERBLADE;CASCO DOWNTOWN HELMET;BLANCO/NEGRO;19,60;39,99;39,99;0,00;51,00;0,00;51,00;1;1;1;2;0;0
8050459461046;067H0300;067H0300 849;067H0300 849 L;ROLLERBLADE;CASCO DOWNTOWN HELMET;BLANCO/NEGRO;19,60;39,99;39,99;0,00;51,00;0,00;51,00;1;1;1;2;0;0
8050459457650;067H0300;067H0300 849;067H0300 849 M;ROLLERBLADE;CASCO DOWNTOWN HELMET;BLANCO/NEGRO;19,60;39,99;39,99;0,00;51,00;0,00;51,00;1;1;1;1;0;0
8050459444636;067P0100;067P0100 100;067P0100 100 XL;ROLLERBLADE;PROTECCIONES X-GEAR 3 PACK;NEGRO;26,95;54,99;54,99;0,00;51,00;0,00;51,00;1;1;1;19;0;0
8050459443431;067P0100;067P0100 100;067P0100 100 S;ROLLERBLADE;PROTECCIONES X-GEAR 3 PACK;NEGRO;26,95;54,99;54,99;0,00;51,00;0,00;51,00;1;1;1;20;0;0
8050459443448;067P0100;067P0100 100;067P0100 100 M;ROLLERBLADE;PROTECCIONES X-GEAR 3 PACK;NEGRO;26,95;54,99;54,99;0,00;51,00;0,00;51,00;1;1;1;20;0;0
8050459444629;067P0100;067P0100 100;067P0100 100 L;ROLLERBLADE;PROTECCIONES X-GEAR 3 PACK;NEGRO;26,95;54,99;54,99;0,00;51,00;0,00;51,00;1;1;1;20;0;0
8050459444650;067P0200;067P0200 100;067P0200 100 XL;ROLLERBLADE;PROTECCIONES X-GEAR WRISTGUARD;NEGRO;9,80;19,99;19,99;0,00;51,00;0,00;51,00;1;1;1;20;0;0
